iter	Passed	Remaining
0	10	3118
1	20	2890
2	29	2801
3	39	2770
4	48	2753
5	58	2767
6	69	2781
7	78	2755
8	88	2737
9	97	2712
10	107	2710
11	117	2706
12	127	2690
13	137	2685
14	146	2674
15	157	2669
16	166	2661
17	176	2643
18	185	2627
19	195	2622
20	206	2621
21	215	2603
22	224	2587
23	234	2577
24	243	2563
25	253	2554
26	261	2532
27	268	2492
28	275	2459
29	282	2433
30	290	2406
31	297	2378
32	304	2353
33	311	2327
34	318	2299
35	325	2275
36	333	2262
37	340	2236
38	346	2214
39	353	2193
40	360	2170
41	367	2154
42	374	2136
43	382	2119
44	389	2102
45	395	2082
46	403	2067
47	410	2050
48	417	2035
49	424	2022
50	432	2011
51	440	2000
52	448	1990
53	456	1977
54	463	1964
55	470	1951
56	477	1935
57	484	1922
58	491	1907
59	498	1896
60	506	1883
61	512	1869
62	520	1858
63	527	1847
64	535	1835
65	542	1824
66	549	1811
67	556	1799
68	563	1787
69	571	1778
70	578	1768
71	586	1758
72	593	1746
73	600	1736
74	607	1725
75	614	1715
76	622	1705
77	629	1695
78	637	1686
79	644	1676
80	651	1665
81	658	1654
82	665	1643
83	672	1633
84	680	1624
85	687	1614
86	694	1605
87	702	1595
88	709	1585
89	716	1576
90	723	1567
91	731	1558
92	738	1549
93	746	1540
94	753	1531
95	760	1521
96	767	1511
97	774	1502
98	781	1492
99	789	1483
100	796	1475
101	804	1466
102	811	1457
103	818	1448
104	826	1440
105	833	1431
106	841	1422
107	848	1414
108	855	1405
109	863	1396
110	870	1388
111	877	1379
112	885	1371
113	893	1363
114	899	1353
115	907	1345
116	914	1336
117	922	1328
118	929	1320
119	936	1311
120	944	1303
121	951	1294
122	958	1286
123	966	1278
124	973	1269
125	980	1261
126	988	1253
127	996	1245
128	1004	1237
129	1011	1229
130	1018	1221
131	1026	1212
132	1033	1204
133	1040	1196
134	1048	1187
135	1055	1179
136	1063	1172
137	1071	1164
138	1079	1156
139	1087	1149
140	1096	1142
141	1106	1138
142	1115	1130
143	1123	1123
144	1131	1116
145	1139	1108
146	1147	1100
147	1154	1091
148	1161	1083
149	1168	1075
150	1175	1066
151	1183	1058
152	1190	1050
153	1199	1043
154	1207	1035
155	1214	1027
156	1222	1019
157	1229	1011
158	1237	1003
159	1244	995
160	1251	987
161	1258	979
162	1265	970
163	1273	962
164	1280	954
165	1287	945
166	1294	938
167	1302	930
168	1309	922
169	1316	913
170	1323	905
171	1330	897
172	1338	889
173	1344	881
174	1352	873
175	1359	865
176	1367	857
177	1375	849
178	1383	842
179	1390	834
180	1398	826
181	1405	818
182	1412	810
183	1421	803
184	1428	795
185	1435	787
186	1443	779
187	1450	771
188	1457	763
189	1464	755
190	1472	747
191	1480	740
192	1487	732
193	1494	724
194	1501	716
195	1510	708
196	1517	701
197	1525	693
198	1533	685
199	1540	677
200	1548	670
201	1555	662
202	1563	654
203	1571	647
204	1578	639
205	1586	631
206	1594	623
207	1601	616
208	1609	608
209	1617	600
210	1624	592
211	1634	585
212	1641	578
213	1649	570
214	1656	562
215	1664	554
216	1671	547
217	1678	539
218	1686	531
219	1693	523
220	1700	515
221	1708	507
222	1714	499
223	1721	491
224	1728	483
225	1736	476
226	1743	468
227	1750	460
228	1757	452
229	1765	445
230	1771	437
231	1778	429
232	1785	421
233	1793	413
234	1800	406
235	1807	398
236	1815	390
237	1822	382
238	1830	375
239	1837	367
240	1844	359
241	1851	351
242	1858	344
243	1866	336
244	1872	328
245	1880	321
246	1888	313
247	1896	305
248	1903	298
249	1910	290
250	1917	282
251	1926	275
252	1933	267
253	1940	259
254	1948	252
255	1955	244
256	1963	236
257	1970	229
258	1977	221
259	1985	213
260	1991	206
261	1999	198
262	2005	190
263	2012	182
264	2019	175
265	2026	167
266	2033	159
267	2041	152
268	2047	144
269	2054	136
270	2062	129
271	2069	121
272	2077	114
273	2084	106
274	2092	98
275	2099	91
276	2105	83
277	2112	76
278	2120	68
279	2127	60
280	2134	53
281	2142	45
282	2150	37
283	2157	30
284	2165	22
285	2173	15
286	2180	7
287	2188	0
